Name,Age,Score,Department
Anu,23,61,AIML
Megha,19,70,CSE
Sneha,21,70,CSE
Ravi,19,80,CSE
Sneha,18,74,AIML
Sneha,18,86,AIML
Sneha,19,84,CSE
Megha,22,85,ISE
Megha,21,67,CSE
Sneha,20,79,AIML
Megha,20,85,CSE
Sneha,21,70,AIML
Megha,21,65,AIML
Sneha,19,88,CSE
Rahul,19,95,ISE
Ravi,20,64,CSE
Ravi,21,68,AIML
Rahul,20,63,CSE
Anu,20,70,ISE
Anu,18,75,CSE
Anu,22,88,AIML
Anu,21,83,CSE
Sneha,20,80,CSE
Anu,19,71,ISE
Anu,18,69,CSE
Sneha,22,62,CSE
Ravi,22,77,AIML
Sneha,20,72,AIML
Ravi,20,81,AIML
Megha,22,89,AIML
Megha,19,100,CSE
Ravi,19,66,CSE
Anu,21,61,CSE
Anu,22,96,AIML
Rahul,21,95,CSE
Ravi,19,69,AIML
Megha,20,93,ISE
Sneha,22,77,CSE
Rahul,20,65,AIML
Ravi,19,91,CSE
Sneha,22,81,CSE
Rahul,19,75,AIML
Megha,19,60,ISE
Rahul,18,88,AIML
Megha,19,83,CSE
Ravi,21,67,AIML
Megha,18,84,ISE
Rahul,22,65,CSE
Rahul,21,78,AIML
Sneha,19,75,AIML
Rahul,20,82,ISE
Sneha,19,70,ISE
Megha,20,68,ISE
Sneha,19,79,ISE
Sneha,18,71,ISE
Anu,19,65,CSE
Megha,18,92,ISE
Rahul,20,65,ISE
Sneha,20,87,ISE
Rahul,20,85,AIML
Rahul,19,64,CSE
Rahul,21,81,AIML
Megha,19,77,ISE
Rahul,21,90,ISE
Megha,19,71,AIML
Megha,20,61,AIML
Ravi,18,92,ISE
Ravi,18,62,ISE
Rahul,18,73,CSE
Ravi,21,59,AIML
Rahul,19,68,AIML
Anu,18,71,CSE
Sneha,19,76,CSE
Sneha,22,62,AIML
Ravi,24,69,CSE
Sneha,19,66,CSE
Rahul,20,70,AIML
Rahul,19,61,CSE
Ravi,18,80,AIML
Rahul,23,77,AIML
Anu,20,80,ISE
Rahul,21,76,CSE
Anu,18,61,CSE
Anu,18,95,AIML
Megha,20,66,CSE
Anu,21,83,CSE
Ravi,22,72,CSE
Sneha,20,67,CSE
Anu,22,88,ISE
Megha,20,68,AIML
Ravi,19,62,CSE
Rahul,19,84,AIML
Sneha,20,86,CSE
Anu,18,63,CSE
Megha,21,61,AIML
Anu,18,86,CSE
Rahul,19,80,ISE
Megha,20,71,ISE
Sneha,19,93,CSE
Anu,21,99,CSE
